OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Pop_25_Yrs_Over,Pop_25_Yrs_Over_MOE,Num_Pop_ages_25over_2000,Chg_Pop_ages_25over_2000_16,Num_Less_than_HS_or_GED,Num_Less_than_HS_or_GED_MOE,Pct_Less_than_HS_or_GED,Pct_Less_than_HS_or_GED_MOE,Num_lessHS_2000,Pct_Pop25up_lessHS_2000,ChgPct_Pop25up_lessHS_2000_16,Num_BA_or_Higher,Num_BA_or_Higher_MOE,Pct_BA_or_Higher,Pct_BA_or_Higher_MOE,Num_Bachelors_orHi_2000,Pct_Pop25up_Bach_hi_2000,ChgPct_Pop25up_Bach_hi_2000_16,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,2558,354,2427,131,452,196,17.7,7.2,560,23,45177,722,173,28.2,5.5,842,34.7,-6.5,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,3056,156,2903,153,74,59,2.4,1.9,149,5,7395,1812,206,59.3,6,1521,52.4,6.9,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,5540,522,4137,1403,964,262,17.4,4.4,1062,26,96374,1211,250,21.9,4,509,12.3,9.6,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,3893,293,3907,-14,98,93,2.5,2.4,214,6,9794,2452,311,63,6.4,2026,51.9,11.1,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,787,103,903,-116,114,58,14.5,7.1,447,50,11350,288,114,36.6,13.7,66,7.3,29.3,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,6719,760,4146,2573,871,369,13,5.3,289,7,87093,2836,498,42.2,5.7,1691,40.8,1.4,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,9264,729,4309,4955,694,421,7.5,4.5,286,7,69393,3647,585,39.4,5.5,1073,24.9,14.5,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,4513,400,4554,-41,629,282,13.9,6.1,676,15,62885,1814,308,40.2,5.8,1627,35.7,4.5,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,4956,311,4289,667,308,153,6.2,3.1,278,6,30794,2375,344,47.9,6.3,1684,39.3,8.6,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,2238,248,2860,-622,327,119,14.6,5.1,848,30,32670,433,137,19.3,5.7,273,9.5,9.8,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
404,13135050310,13135,"Census Tract 503.10, Gwinnett County",5890,561,4480,395,3478,1002,54,81,1.2,1.8,139,4,5396,2394,371,53.4,6.8,1836,52.8,0.6,ARC 10,1800.93005371,27.14529991,1828.06994629,2.81395006,0.0424145,2.85635996,050310,Gwinnett,{457E7AAF-35ED-4481-91C8-035FFC2B32EF},
897,13297110400,13297,"Census Tract 1104, Walton County",6446,560,3906,403,3469,437,689,190,17.6,4.5,1336,38,68862,401,145,10.3,3.6,273,7.9,2.4,ARC 20,8329.95996094,219.89399719,8549.84960938,13.0156002,0.343584,13.35910034,110400,Walton,{53F5F6AE-A620-446D-8B69-03602E0FAD27},
857,13089021211,13089,"Census Tract 212.11, DeKalb County",4786,270,3715,212,3526,189,43,62,1.2,1.7,73,2,4298,2756,249,74.2,5.2,2282,64.7,9.5,ARC 10,1213.88000488,29.67980003,1243.56005859,1.89669001,0.0463747,1.94306004,021211,DeKalb,{17D7ADBF-9ACB-442C-802F-037B5EE65601},
916,13013180106,13013,"Census Tract 1801.06, Barrow County",2773,323,1802,205,1726,76,265,82,14.7,4.2,412,24,26476,346,93,19.2,4.7,160,9.3,9.9,ARC 20,3054.9699707,20.22850037,3075.19995117,4.77338982,0.031607,4.80499983,180106,Barrow,{19EF1AF0-DF18-43B9-9D04-03E620AF7A2D},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,5548,498,4437,1111,998,287,18,4.9,1004,23,99777,949,226,17.1,3.8,960,21.6,-4.5,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,{BC2BE477-E5A9-407B-B2CF-03EC6C338A22},
289,13151070304,13151,"Census Tract 703.04, Henry County",11658,1014,7353,610,3118,4235,1121,294,15.2,3.8,1159,37,112063,1274,316,17.3,4,378,12.1,5.2,ARC 10,7421.91015625,100.34200287,7522.25,11.59669971,0.156784,11.75349998,070304,Henry,{7036161A-81CD-486B-8AD8-03F499E63E12},
920,13013180503,13013,"Census Tract 1805.03, Barrow County",4960,482,3168,265,1513,1655,506,153,16,4.6,349,23,50577,565,143,17.8,4.3,182,12,5.8,ARC 20,5695.04980469,33.44670105,5728.5,8.89852047,0.0522605,8.95077991,180503,Barrow,{A7512C1F-96AD-46AF-9B11-042ACCDF0158},
