"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2005","op_rel_inpat",""
"01","Alabama","AL","2006","op_rel_inpat",""
"01","Alabama","AL","2007","op_rel_inpat",""
"01","Alabama","AL","2008","op_rel_inpat",""
"01","Alabama","AL","2009","op_rel_inpat",""
"01","Alabama","AL","2010","op_rel_inpat",""
"01","Alabama","AL","2011","op_rel_inpat",""
"01","Alabama","AL","2012","op_rel_inpat",""
"01","Alabama","AL","2013","op_rel_inpat",""
"01","Alabama","AL","2014","op_rel_inpat",""
"01","Alabama","AL","2015","op_rel_inpat",""
"02","Alaska","AK","2005","op_rel_inpat",""
"02","Alaska","AK","2006","op_rel_inpat",""
"02","Alaska","AK","2007","op_rel_inpat",""
"02","Alaska","AK","2008","op_rel_inpat",""
"02","Alaska","AK","2009","op_rel_inpat",""
"02","Alaska","AK","2010","op_rel_inpat",""
"02","Alaska","AK","2011","op_rel_inpat",""
"02","Alaska","AK","2012","op_rel_inpat",""
"02","Alaska","AK","2013","op_rel_inpat",""
"02","Alaska","AK","2014","op_rel_inpat",""
"02","Alaska","AK","2015","op_rel_inpat",""
"04","Arizona","AZ","2005","op_rel_inpat","99.4"
"04","Arizona","AZ","2006","op_rel_inpat","102.6"
"04","Arizona","AZ","2007","op_rel_inpat","104.3"
"04","Arizona","AZ","2008","op_rel_inpat","172.5"
"04","Arizona","AZ","2009","op_rel_inpat","176.6"
"04","Arizona","AZ","2010","op_rel_inpat","193.4"
"04","Arizona","AZ","2011","op_rel_inpat","219.6"
"04","Arizona","AZ","2012","op_rel_inpat","229.7"
"04","Arizona","AZ","2013","op_rel_inpat","230.7"
"04","Arizona","AZ","2014","op_rel_inpat","247"
"04","Arizona","AZ","2015","op_rel_inpat","275.4"
"05","Arkansas","AR","2005","op_rel_inpat","82.1"
"05","Arkansas","AR","2006","op_rel_inpat","84.5"
"05","Arkansas","AR","2007","op_rel_inpat","88"
"05","Arkansas","AR","2008","op_rel_inpat","101.9"
"05","Arkansas","AR","2009","op_rel_inpat","112.5"
"05","Arkansas","AR","2010","op_rel_inpat","116.4"
"05","Arkansas","AR","2011","op_rel_inpat","128.9"
"05","Arkansas","AR","2012","op_rel_inpat","132.8"
"05","Arkansas","AR","2013","op_rel_inpat","128.1"
"05","Arkansas","AR","2014","op_rel_inpat","139.3"
"05","Arkansas","AR","2015","op_rel_inpat","166.3"
"06","California","CA","2005","op_rel_inpat","115.3"
"06","California","CA","2006","op_rel_inpat","111.3"
"06","California","CA","2007","op_rel_inpat","115.1"
"06","California","CA","2008","op_rel_inpat","124.6"
"06","California","CA","2009","op_rel_inpat","129.5"
"06","California","CA","2010","op_rel_inpat","139.2"
"06","California","CA","2011","op_rel_inpat","150.9"
"06","California","CA","2012","op_rel_inpat","161"
"06","California","CA","2013","op_rel_inpat","162.3"
"06","California","CA","2014","op_rel_inpat","168.3"
"06","California","CA","2015","op_rel_inpat","185.3"
"08","Colorado","CO","2005","op_rel_inpat","111"
"08","Colorado","CO","2006","op_rel_inpat","114.6"
"08","Colorado","CO","2007","op_rel_inpat","128.9"
"08","Colorado","CO","2008","op_rel_inpat","131.4"
"08","Colorado","CO","2009","op_rel_inpat","136.8"
"08","Colorado","CO","2010","op_rel_inpat","151.8"
"08","Colorado","CO","2011","op_rel_inpat","180.4"
"08","Colorado","CO","2012","op_rel_inpat","195.5"
"08","Colorado","CO","2013","op_rel_inpat","175.6"
"08","Colorado","CO","2014","op_rel_inpat","186.1"
"08","Colorado","CO","2015","op_rel_inpat","203.7"
"09","Connecticut","CT","2005","op_rel_inpat","212.2"
"09","Connecticut","CT","2006","op_rel_inpat","223.3"
"09","Connecticut","CT","2007","op_rel_inpat","226.1"
"09","Connecticut","CT","2008","op_rel_inpat","236.2"
"09","Connecticut","CT","2009","op_rel_inpat","262.7"
"09","Connecticut","CT","2010","op_rel_inpat","267.7"
"09","Connecticut","CT","2011","op_rel_inpat","273.4"
"09","Connecticut","CT","2012","op_rel_inpat","293.4"
"09","Connecticut","CT","2013","op_rel_inpat","317.2"
"09","Connecticut","CT","2014","op_rel_inpat","337.5"
"09","Connecticut","CT","2015","op_rel_inpat","357.8"
"10","Delaware","DE","2005","op_rel_inpat",""
"10","Delaware","DE","2006","op_rel_inpat",""
"10","Delaware","DE","2007","op_rel_inpat",""
"10","Delaware","DE","2008","op_rel_inpat",""
"10","Delaware","DE","2009","op_rel_inpat",""
"10","Delaware","DE","2010","op_rel_inpat",""
"10","Delaware","DE","2011","op_rel_inpat",""
"10","Delaware","DE","2012","op_rel_inpat",""
"10","Delaware","DE","2013","op_rel_inpat",""
"10","Delaware","DE","2014","op_rel_inpat",""
"10","Delaware","DE","2015","op_rel_inpat",""
"11","District of Columbia","DC","2005","op_rel_inpat",""
"11","District of Columbia","DC","2006","op_rel_inpat",""
"11","District of Columbia","DC","2007","op_rel_inpat",""
"11","District of Columbia","DC","2008","op_rel_inpat",""
"11","District of Columbia","DC","2009","op_rel_inpat",""
"11","District of Columbia","DC","2010","op_rel_inpat",""
"11","District of Columbia","DC","2011","op_rel_inpat",""
"11","District of Columbia","DC","2012","op_rel_inpat",""
"11","District of Columbia","DC","2013","op_rel_inpat","368.1"
"11","District of Columbia","DC","2014","op_rel_inpat","388.8"
"11","District of Columbia","DC","2015","op_rel_inpat","438.3"
"12","Florida","FL","2005","op_rel_inpat","103.5"
"12","Florida","FL","2006","op_rel_inpat","115.9"
"12","Florida","FL","2007","op_rel_inpat","131.6"
"12","Florida","FL","2008","op_rel_inpat","148.3"
"12","Florida","FL","2009","op_rel_inpat","168.6"
"12","Florida","FL","2010","op_rel_inpat","194"
"12","Florida","FL","2011","op_rel_inpat","213.8"
"12","Florida","FL","2012","op_rel_inpat","216.4"
"12","Florida","FL","2013","op_rel_inpat","225.4"
"12","Florida","FL","2014","op_rel_inpat","234.9"
"12","Florida","FL","2015","op_rel_inpat","283"
"13","Georgia","GA","2005","op_rel_inpat","45.8"
"13","Georgia","GA","2006","op_rel_inpat","48.7"
"13","Georgia","GA","2007","op_rel_inpat","51.3"
"13","Georgia","GA","2008","op_rel_inpat","61.8"
"13","Georgia","GA","2009","op_rel_inpat","59.8"
"13","Georgia","GA","2010","op_rel_inpat","76.2"
"13","Georgia","GA","2011","op_rel_inpat","84.7"
"13","Georgia","GA","2012","op_rel_inpat","90.7"
"13","Georgia","GA","2013","op_rel_inpat","115.2"
