"STATEFP","COUNTYFP","YEAR","INDICATOR","VALUE","STATE","STATEABBREVIATION","COUNTY"
"01","001","2014","pctunmetneed","95.7","Alabama","AL","Autauga County"
"01","003","2014","pctunmetneed","91.34","Alabama","AL","Baldwin County"
"01","005","2014","pctunmetneed","91.34","Alabama","AL","Barbour County"
"01","007","2014","pctunmetneed","91.86","Alabama","AL","Bibb County"
"01","009","2014","pctunmetneed","91.86","Alabama","AL","Blount County"
"01","011","2014","pctunmetneed","95.7","Alabama","AL","Bullock County"
"01","013","2014","pctunmetneed","91.34","Alabama","AL","Butler County"
"01","015","2014","pctunmetneed","91.86","Alabama","AL","Calhoun County"
"01","017","2014","pctunmetneed","95.7","Alabama","AL","Chambers County"
"01","019","2014","pctunmetneed","89.71","Alabama","AL","Cherokee County"
"01","021","2014","pctunmetneed","91.86","Alabama","AL","Chilton County"
"01","023","2014","pctunmetneed","95.7","Alabama","AL","Choctaw County"
"01","025","2014","pctunmetneed","91.34","Alabama","AL","Clarke County"
"01","027","2014","pctunmetneed","91.86","Alabama","AL","Clay County"
"01","029","2014","pctunmetneed","91.86","Alabama","AL","Cleburne County"
"01","031","2014","pctunmetneed","91.34","Alabama","AL","Coffee County"
"01","033","2014","pctunmetneed","89.71","Alabama","AL","Colbert County"
"01","035","2014","pctunmetneed","91.34","Alabama","AL","Conecuh County"
"01","037","2014","pctunmetneed","91.86","Alabama","AL","Coosa County"
"01","039","2014","pctunmetneed","91.34","Alabama","AL","Covington County"
"01","041","2014","pctunmetneed","91.34","Alabama","AL","Crenshaw County"
"01","043","2014","pctunmetneed","89.71","Alabama","AL","Cullman County"
"01","045","2014","pctunmetneed","91.34","Alabama","AL","Dale County"
"01","047","2014","pctunmetneed","95.7","Alabama","AL","Dallas County"
"01","049","2014","pctunmetneed","89.71","Alabama","AL","DeKalb County"
"01","051","2014","pctunmetneed","95.7","Alabama","AL","Elmore County"
"01","053","2014","pctunmetneed","91.34","Alabama","AL","Escambia County"
"01","055","2014","pctunmetneed","89.71","Alabama","AL","Etowah County"
"01","057","2014","pctunmetneed","89.71","Alabama","AL","Fayette County"
"01","059","2014","pctunmetneed","89.71","Alabama","AL","Franklin County"
"01","061","2014","pctunmetneed","91.34","Alabama","AL","Geneva County"
"01","063","2014","pctunmetneed","95.7","Alabama","AL","Greene County"
"01","065","2014","pctunmetneed","95.7","Alabama","AL","Hale County"
"01","067","2014","pctunmetneed","91.34","Alabama","AL","Henry County"
"01","069","2014","pctunmetneed","91.34","Alabama","AL","Houston County"
"01","071","2014","pctunmetneed","89.71","Alabama","AL","Jackson County"
"01","073","2014","pctunmetneed","91.86","Alabama","AL","Jefferson County"
"01","075","2014","pctunmetneed","89.71","Alabama","AL","Lamar County"
"01","077","2014","pctunmetneed","89.71","Alabama","AL","Lauderdale County"
"01","079","2014","pctunmetneed","89.71","Alabama","AL","Lawrence County"
"01","081","2014","pctunmetneed","95.7","Alabama","AL","Lee County"
