"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"01","Alabama","AL","2005","op_rel_ed",""
"01","Alabama","AL","2006","op_rel_ed",""
"01","Alabama","AL","2007","op_rel_ed",""
"01","Alabama","AL","2008","op_rel_ed",""
"01","Alabama","AL","2009","op_rel_ed",""
"01","Alabama","AL","2010","op_rel_ed",""
"01","Alabama","AL","2011","op_rel_ed",""
"01","Alabama","AL","2012","op_rel_ed",""
"01","Alabama","AL","2013","op_rel_ed",""
"01","Alabama","AL","2014","op_rel_ed",""
"01","Alabama","AL","2015","op_rel_ed",""
"02","Alaska","AK","2005","op_rel_ed",""
"02","Alaska","AK","2006","op_rel_ed",""
"02","Alaska","AK","2007","op_rel_ed",""
"02","Alaska","AK","2008","op_rel_ed",""
"02","Alaska","AK","2009","op_rel_ed",""
"02","Alaska","AK","2010","op_rel_ed",""
"02","Alaska","AK","2011","op_rel_ed",""
"02","Alaska","AK","2012","op_rel_ed",""
"02","Alaska","AK","2013","op_rel_ed",""
"02","Alaska","AK","2014","op_rel_ed",""
"02","Alaska","AK","2015","op_rel_ed",""
"04","Arizona","AZ","2005","op_rel_ed","78.6"
"04","Arizona","AZ","2006","op_rel_ed","82.2"
"04","Arizona","AZ","2007","op_rel_ed","82.4"
"04","Arizona","AZ","2008","op_rel_ed","112.3"
"04","Arizona","AZ","2009","op_rel_ed","119.6"
"04","Arizona","AZ","2010","op_rel_ed","145"
"04","Arizona","AZ","2011","op_rel_ed","180"
"04","Arizona","AZ","2012","op_rel_ed","184.2"
"04","Arizona","AZ","2013","op_rel_ed","184"
"04","Arizona","AZ","2014","op_rel_ed","214.9"
"04","Arizona","AZ","2015","op_rel_ed","237.4"
"05","Arkansas","AR","2005","op_rel_ed",""
"05","Arkansas","AR","2006","op_rel_ed",""
"05","Arkansas","AR","2007","op_rel_ed",""
"05","Arkansas","AR","2008","op_rel_ed",""
"05","Arkansas","AR","2009","op_rel_ed",""
"05","Arkansas","AR","2010","op_rel_ed",""
"05","Arkansas","AR","2011","op_rel_ed",""
"05","Arkansas","AR","2012","op_rel_ed",""
"05","Arkansas","AR","2013","op_rel_ed","65.2"
