GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US01001,01001,"Autauga County, Alabama",55049,
0500000US01003,01003,"Baldwin County, Alabama",199510,
0500000US01005,01005,"Barbour County, Alabama",26614,
0500000US01007,01007,"Bibb County, Alabama",22572,
0500000US01009,01009,"Blount County, Alabama",57704,
0500000US01011,01011,"Bullock County, Alabama",10552,
0500000US01013,01013,"Butler County, Alabama",20280,
0500000US01015,01015,"Calhoun County, Alabama",115883,
0500000US01017,01017,"Chambers County, Alabama",34018,
0500000US01019,01019,"Cherokee County, Alabama",25897,
0500000US01021,01021,"Chilton County, Alabama",43817,
0500000US01023,01023,"Choctaw County, Alabama",13287,
0500000US01025,01025,"Clarke County, Alabama",24847,
0500000US01027,01027,"Clay County, Alabama",13483,
0500000US01029,01029,"Cleburne County, Alabama",14991,
0500000US01031,01031,"Coffee County, Alabama",50991,
0500000US01033,01033,"Colbert County, Alabama",54377,
0500000US01035,01035,"Conecuh County, Alabama",12697,
0500000US01037,01037,"Coosa County, Alabama",10864,
0500000US01039,01039,"Covington County, Alabama",37729,
0500000US01041,01041,"Crenshaw County, Alabama",13896,
0500000US01043,01043,"Cullman County, Alabama",81316,
0500000US01045,01045,"Dale County, Alabama",49607,
0500000US01047,01047,"Dallas County, Alabama",41426,
0500000US01049,01049,"DeKalb County, Alabama",70937,
0500000US01051,01051,"Elmore County, Alabama",80957,
0500000US01053,01053,"Escambia County, Alabama",37875,
0500000US01055,01055,"Etowah County, Alabama",103363,
0500000US01057,01057,"Fayette County, Alabama",16783,
0500000US01059,01059,"Franklin County, Alabama",31573,
0500000US01061,01061,"Geneva County, Alabama",26765,
0500000US01063,01063,"Greene County, Alabama",8587,
0500000US01065,01065,"Hale County, Alabama",15159,
0500000US01067,01067,"Henry County, Alabama",17187,
0500000US01069,01069,"Houston County, Alabama",103891,
0500000US01071,01071,"Jackson County, Alabama",52608,
0500000US01073,01073,"Jefferson County, Alabama",659096,
0500000US01075,01075,"Lamar County, Alabama",14066,
0500000US01077,01077,"Lauderdale County, Alabama",92641,
0500000US01079,01079,"Lawrence County, Alabama",33433,
0500000US01081,01081,"Lee County, Alabama",153947,
0500000US01083,01083,"Limestone County, Alabama",90257,
