geo_name,geo_sumlevel,geo_id,uninsured_2015,uninsured_2016,uninsured_2017
"Autauga County, AL","county",05000US01001,0.128,0.134,0.11
"Baldwin County, AL","county",05000US01003,0.158,0.175,0.161
"Barbour County, AL","county",05000US01005,0.175,0.174,0.153
"Bibb County, AL","county",05000US01007,0.151,0.15,0.136
"Blount County, AL","county",05000US01009,0.183,0.176,0.165
"Bullock County, AL","county",05000US01011,0.176,0.185,0.173
"Butler County, AL","county",05000US01013,0.166,0.155,0.144
"Calhoun County, AL","county",05000US01015,0.153,0.16,0.142
"Chambers County, AL","county",05000US01017,0.16,0.168,0.149
"Cherokee County, AL","county",05000US01019,0.167,0.164,0.146
"Chilton County, AL","county",05000US01021,0.192,0.192,0.177
"Choctaw County, AL","county",05000US01023,0.161,0.159,0.143
"Clarke County, AL","county",05000US01025,0.17,0.157,0.151
"Clay County, AL","county",05000US01027,0.188,0.192,0.178
"Cleburne County, AL","county",05000US01029,0.16,0.167,0.143
"Coffee County, AL","county",05000US01031,0.16,0.168,0.15
"Colbert County, AL","county",05000US01033,0.143,0.145,0.13
"Conecuh County, AL","county",05000US01035,0.182,0.181,0.166
"Coosa County, AL","county",05000US01037,0.167,0.173,0.155
"Covington County, AL","county",05000US01039,0.173,0.169,0.154
"Crenshaw County, AL","county",05000US01041,0.164,0.165,0.163
"Cullman County, AL","county",05000US01043,0.181,0.188,0.164
"Dale County, AL","county",05000US01045,0.147,0.149,0.138
"Dallas County, AL","county",05000US01047,0.145,0.143,0.143
"DeKalb County, AL","county",05000US01049,0.217,0.23,0.209
"Elmore County, AL","county",05000US01051,0.132,0.123,0.115
"Escambia County, AL","county",05000US01053,0.196,0.187,0.17
"Etowah County, AL","county",05000US01055,0.167,0.161,0.146
"Fayette County, AL","county",05000US01057,0.154,0.154,0.146
"Franklin County, AL","county",05000US01059,0.201,0.204,0.199
"Geneva County, AL","county",05000US01061,0.19,0.193,0.172
"Greene County, AL","county",05000US01063,0.16,0.17,0.151
"Hale County, AL","county",05000US01065,0.161,0.161,0.14
"Henry County, AL","county",05000US01067,0.167,0.169,0.151
"Houston County, AL","county",05000US01069,0.164,0.159,0.135
"Jackson County, AL","county",05000US01071,0.171,0.179,0.157
"Jefferson County, AL","county",05000US01073,0.145,0.147,0.126
"Lamar County, AL","county",05000US01075,0.169,0.159,0.14
"Lauderdale County, AL","county",05000US01077,0.163,0.15,0.137
"Lawrence County, AL","county",05000US01079,0.182,0.182,0.161
"Lee County, AL","county",05000US01081,0.153,0.161,0.134
"Limestone County, AL","county",05000US01083,0.16,0.161,0.144
"Lowndes County, AL","county",05000US01085,0.155,0.153,0.144
"Macon County, AL","county",05000US01087,0.153,0.159,0.13
"Madison County, AL","county",05000US01089,0.137,0.137,0.125
"Marengo County, AL","county",05000US01091,0.152,0.154,0.133
"Marion County, AL","county",05000US01093,0.158,0.161,0.154
"Marshall County, AL","county",05000US01095,0.186,0.219,0.188
"Mobile County, AL","county",05000US01097,0.177,0.166,0.149
"Monroe County, AL","county",05000US01099,0.165,0.183,0.177
"Montgomery County, AL","county",05000US01101,0.154,0.153,0.139
